show_character_id,fb_action_id,tv_show_name,episode_number,user_id,episode_id,created_at,updated_at,episode_season_number
64643236,,Baki (2018),3,75184478,6721652,2024-04-02 22:24:07,2024-04-02 22:24:07,1
63909194,,Lucifer,1,75184478,6783481,2024-11-25 17:09:15,2024-11-25 17:09:15,4
63909194,,Lucifer,2,75184478,6809752,2024-11-25 17:09:59,2024-11-25 17:09:59,4
63909194,,Lucifer,3,75184478,6813799,2024-11-25 17:11:57,2024-11-25 17:11:57,4
63909194,,Lucifer,4,75184478,6823132,2024-11-25 17:12:39,2024-11-25 17:12:39,4
63510448,,Rascal Does Not Dream of Bunny Girl Senpai,5,75184478,6827065,2025-06-19 03:03:18,2025-06-19 03:03:19,1
64737733,,That Time I Got Reincarnated as a Slime,9,75184478,6843184,2024-06-26 02:01:49,2024-06-26 02:01:58,1
63909194,,Lucifer,5,75184478,6844133,2024-11-25 22:41:28,2024-11-25 22:41:28,4
66177408,,Dark,1,75184478,7154358,2024-10-08 04:42:47,2024-10-08 04:42:47,2
64905469,,Is It Wrong to Try to Pick Up Girls in a Dungeon?,7,75184478,7234769,2024-11-24 23:31:05,2024-11-24 23:31:05,2
65534258,,Dark,3,75184478,7241876,2024-10-09 17:44:12,2024-10-09 17:44:14,2
66177408,,Dark,4,75184478,7241878,2024-10-09 17:45:26,2024-10-09 17:45:29,2
66177408,,Dark,5,75184478,7241879,2024-10-09 17:47:07,2024-10-09 17:47:07,2
66177408,,Dark,6,75184478,7241880,2024-10-10 13:45:37,2024-10-10 13:45:37,2
66177408,,Dark,7,75184478,7241881,2024-10-12 04:54:24,2024-10-12 04:54:24,2
66177408,,Dark,8,75184478,7241882,2024-10-12 07:27:20,2024-10-12 07:27:21,2
64743168,,Fire Force,5,75184478,7244053,2025-07-06 12:54:38,2025-07-06 12:54:38,1
64743168,,Fire Force,6,75184478,7244056,2025-07-06 12:54:43,2025-07-06 12:54:46,1
66188789,,Uzumaki,1,75184478,7341873,2024-10-16 08:35:55,2024-10-16 08:35:55,1
66188733,,Uzumaki,3,75184478,7341875,2024-10-16 11:12:59,2024-10-16 11:12:59,1
67980844,,Arcane,1,75184478,7407215,2024-11-14 11:39:42,2024-11-14 11:39:42,1
66177408,,Dark,1,75184478,7605172,2024-10-12 11:12:21,2024-10-12 11:12:24,3
66177311,,Dark,4,75184478,7605175,2024-10-13 14:53:21,2024-10-13 14:53:22,3
66177408,,Dark,8,75184478,7605180,2024-10-17 12:34:04,2024-10-17 12:34:04,3
64643288,,Baki (2018),3,75184478,7767330,2026-01-02 13:22:38,2026-01-02 13:22:39,2
64643236,,Baki (2018),4,75184478,7767331,2026-01-02 13:22:44,2026-01-02 13:22:44,2
64643236,,Baki (2018),5,75184478,7767333,2026-01-02 13:23:57,2026-01-02 13:23:57,2
68720904,,Food Wars!,13,75184478,7943819,2025-11-26 14:55:36,2025-11-26 14:55:36,5
64240325,,The Quintessential Quintuplets,11,75184478,8128420,2026-06-21 03:44:26,2026-06-21 03:44:26,2
64240321,,The Quintessential Quintuplets,12,75184478,8128421,2026-06-21 03:44:32,2026-06-21 03:44:32,2
66366814,,Record of Ragnarok,6,75184478,8481728,2026-01-22 14:57:07,2026-01-22 14:57:10,1
66354452,,Sunflower,3,75184478,8483527,2024-10-12 08:55:27,2024-10-12 08:55:27,1
66354452,,Sunflower,4,75184478,8483532,2024-10-12 08:55:38,2024-10-12 08:55:38,1
65478083,,86: Eighty Six,13,75184478,8722563,2026-06-30 12:22:10,2026-06-30 12:22:10,1
67980842,,Arcane,3,75184478,8723886,2024-11-25 17:05:44,2024-11-25 17:05:45,1
67980844,,Arcane,6,75184478,8723894,2024-11-29 10:51:20,2024-11-29 10:51:20,1
68699185,,Stranger Things,9,75184478,8852957,2024-10-01 16:43:54,2024-10-01 16:44:01,4
63473683,,The Boys,3,75184478,8931923,2024-08-04 13:52:01,2024-08-04 13:52:02,3
68632531,,Aoashi,23,75184478,9229062,2026-01-07 10:54:49,2026-01-07 10:54:49,1
64562528,,Bleach,1,75184478,9340509,2024-11-05 07:41:41,2024-11-05 07:41:41,17
64562528,,Bleach,7,75184478,9360913,2024-11-06 03:31:36,2024-11-06 03:31:36,17
64562834,,Bleach,10,75184478,9360916,2024-11-06 17:23:19,2024-11-06 17:23:20,17
68808785,,Bleach,11,75184478,9360917,2024-11-06 17:38:44,2024-11-06 17:38:44,17
68808785,,Bleach,12,75184478,9360918,2024-11-06 17:44:58,2024-11-06 17:44:59,17
64923196,,Stranger Things,1,75184478,9443528,2025-11-27 14:49:30,2025-11-27 14:49:30,5
68786174,,Record of Ragnarok,3,75184478,9473926,2026-01-23 17:04:28,2026-01-23 17:04:28,2
64562528,,Bleach,13,75184478,9477211,2024-11-06 18:20:05,2024-11-06 18:20:05,17
68857941,,Campfire Cooking in Another World with My Absurd Skill,6,75184478,9551836,2025-12-09 12:35:49,2025-12-09 12:35:49,1
68857934,,Campfire Cooking in Another World with My Absurd Skill,7,75184478,9551837,2025-12-09 12:56:37,2025-12-09 12:56:39,1
68790265,,The Eminence in Shadow,1,75184478,9631534,2025-02-22 15:34:10,2025-02-22 15:34:10,2
64562528,,Bleach,14,75184478,9813955,2024-11-06 18:30:50,2024-11-06 18:30:50,17
64562491,,Bleach,18,75184478,9865597,2024-11-07 09:06:00,2024-11-07 09:06:04,17
64562519,,Bleach,19,75184478,9865598,2024-11-07 09:57:20,2024-11-07 09:57:20,17
64562851,,Bleach,20,75184478,9865599,2024-11-07 09:58:14,2024-11-07 09:58:14,17
64562528,,Bleach,21,75184478,9865600,2024-11-08 04:36:04,2024-11-08 04:36:04,17
68845229,,Bleach,24,75184478,9865603,2024-11-08 18:05:52,2024-11-08 18:05:52,17
68845233,,Bleach,26,75184478,9866063,2024-11-09 03:37:24,2024-11-09 03:37:24,17
69023882,,Frieren: Beyond Journey's End,16,75184478,10057054,2024-06-12 03:04:56,2024-06-12 03:04:56,1
69131456,,Chillin' in Another World With Level 2 Super Cheat Powers,1,75184478,10090843,2025-11-29 09:56:31,2025-11-29 09:56:31,1
69006964,,The Apothecary Diaries,22,75184478,10102925,2025-02-21 11:10:37,2025-02-21 11:10:37,1
69450112,,Sentenced to Be a Hero,1,75184478,10116028,2026-01-06 09:14:23,2026-01-06 09:14:23,1
69004492,,Shangri-La Frontier,23,75184478,10119406,2024-03-18 17:04:57,2024-03-18 17:05:00,1
69088270,,Delicious in Dungeon,2,75184478,10192565,2025-12-25 18:09:43,2025-12-25 18:09:46,1
69085837,,Delicious in Dungeon,7,75184478,10192570,2026-01-16 08:34:07,2026-01-16 08:34:07,1
69085837,,Delicious in Dungeon,9,75184478,10192572,2026-04-23 04:35:31,2026-04-23 04:35:31,1
69085837,,Delicious in Dungeon,10,75184478,10192573,2026-04-23 04:35:41,2026-04-23 04:35:42,1
65710119,,Classroom of the Elite,13,75184478,10205506,2024-05-15 03:25:44,2024-05-15 03:25:44,3
63473761,,The Boys,8,75184478,10297575,2024-09-12 16:24:52,2024-09-12 16:25:01,4
66354452,,Sunflower,1,75184478,10313569,2024-11-16 14:33:19,2024-11-16 14:33:19,2
69131458,,Chillin' in Another World With Level 2 Super Cheat Powers,2,75184478,10381460,2025-11-29 09:56:37,2025-11-29 09:56:38,1
69131458,,Chillin' in Another World With Level 2 Super Cheat Powers,3,75184478,10381461,2025-11-29 09:56:42,2025-11-29 09:56:43,1
