id,source,external_id,data_received,created_at,updated_at,data_processed,user_id
35265978,AppsFlyerV2,1703226704137-3636091551012205056,"{""af_sub1"":null,""customer_user_id"":null,""bundle_id"":""com.tozelabs.tvshowtime"",""event_source"":""SDK"",""app_version"":""9.10.0+2023121201"",""custom_data"":null,""af_c_id"":null,""install_time"":""2023-12-22 06:31:48.655"",""attributed_touch_type"":null,""af_adset_id"":null,""api_version"":""2.0"",""attributed_touch_time"":null,""appsflyer_id"":""1703226704137-3636091551012205056"",""af_sub5"":null,""af_prt"":null,""media_source"":""organic"",""campaign"":null,""af_keywords"":null,""event_value"":null,""event_time"":""2023-12-22 06:31:48.655"",""af_sub4"":null,""af_sub2"":null,""original_url"":null,""af_adset"":null,""af_ad"":null,""device_type"":null,""idfa"":null,""af_channel"":null,""af_siteid"":null,""app_id"":""com.tozelabs.tvshowtime"",""af_ad_type"":null,""event_name"":""install"",""advertising_id"":""343422d1-3f2b-4799-9a2f-322e2804adb9"",""os_version"":""11"",""platform"":""android"",""af_sub3"":null,""af_ad_id"":null,""sdk_version"":""v6.12.2""}",2023-12-22 06:32:22,2023-12-22 06:32:32,1,75184478
43416587,AppsFlyerV2,1749061354853-3043635112875098999,"{""af_sub1"":null,""customer_user_id"":null,""bundle_id"":""com.tozelabs.tvshowtime"",""event_source"":""SDK"",""app_version"":""10.9.0+2025050601"",""custom_data"":null,""af_c_id"":null,""install_time"":""2025-06-04 18:22:38.504"",""attributed_touch_type"":null,""af_adset_id"":null,""api_version"":""2.0"",""attributed_touch_time"":null,""appsflyer_id"":""1749061354853-3043635112875098999"",""af_sub5"":null,""af_prt"":null,""media_source"":""organic"",""campaign"":null,""af_keywords"":null,""event_value"":null,""event_time"":""2025-06-04 18:22:38.504"",""af_sub4"":null,""af_sub2"":null,""original_url"":null,""af_adset"":null,""af_ad"":null,""device_type"":null,""idfa"":null,""af_channel"":null,""af_siteid"":null,""app_id"":""com.tozelabs.tvshowtime"",""af_ad_type"":null,""event_name"":""install"",""advertising_id"":""9ad1cefe-cba7-4602-8fac-191ca5acb94b"",""os_version"":""14"",""platform"":""android"",""af_sub3"":null,""af_ad_id"":null,""sdk_version"":""v6.15.2""}",2025-06-04 18:23:13,2025-06-04 18:23:22,1,75184478
