updated_at,user_id,appsflyer_device_id,created_at
2023-12-22 06:32:32,75184478,1703226704137-3636091551012205056,2023-12-22 06:32:32
2025-06-04 18:23:22,75184478,1749061354853-3043635112875098999,2025-06-04 18:23:22
