created_at,comment_uuid,type,entity_uuid,user_id,sort_key,movie_name,lang,parent_uuid,replies,text,updated_at,reply_count,comment_id,spoiler_count,image,report_count,entity_type,tenant,inappropriate_count,uuid,is_spoiler,like_count,expires_at,last_read
2024-09-17 16:11:48,48ee5d56-55a3-4e39-8592-0ec6fb8812be,like,f73b9871-3a6b-4c9e-b883-d2af0b1460a7,75184478,like-48ee5d56-55a3-4e39-8592-0ec6fb8812be-75184478,,,,,,,,,,,,,,,,,,,
2024-10-12 18:06:41,4c87175a-dae4-4b0d-9761-39015b99a4a2,like,45c1e773-80d2-422c-a502-29cbd6226039,75184478,like-4c87175a-dae4-4b0d-9761-39015b99a4a2-75184478,,,,,,,,,,,,,,,,,,,
2024-09-16 12:35:59,4d554760-a662-414f-9d1d-36266e83c866,like,54bcfd1f-7362-4369-93a8-c19d3064ba27,75184478,like-4d554760-a662-414f-9d1d-36266e83c866-75184478,,,,,,,,,,,,,,,,,,,
2024-10-12 07:28:26,4fefaf67-5c21-4d75-b463-304725891419,like,3b02f60b-d8dc-4f0d-ad5d-691284edc5bc,75184478,like-4fefaf67-5c21-4d75-b463-304725891419-75184478,,,,,,,,,,,,,,,,,,,
2024-11-07 09:57:48,51384516-d119-47ae-8f00-de05bca75577,like,e49d5f5a-c7f0-4d42-89ac-57d07212fef1,75184478,like-51384516-d119-47ae-8f00-de05bca75577-75184478,,,,,,,,,,,,,,,,,,,
2024-11-06 18:20:28,55f309f1-9726-4c53-a3b2-646ceebea58a,like,67ed92a7-557e-4c1c-b62e-ee9fa5af7f35,75184478,like-55f309f1-9726-4c53-a3b2-646ceebea58a-75184478,,,,,,,,,,,,,,,,,,,
2024-09-14 17:17:16,59d3ee4d-4d8e-45ae-84f9-803c5adb6d8c,like,41d04485-d66c-4f64-84f2-cc2c6db38b9f,75184478,like-59d3ee4d-4d8e-45ae-84f9-803c5adb6d8c-75184478,,,,,,,,,,,,,,,,,,,
2024-09-16 12:36:57,5d24e557-9c33-49ed-ace7-439832620211,like,54bcfd1f-7362-4369-93a8-c19d3064ba27,75184478,like-5d24e557-9c33-49ed-ace7-439832620211-75184478,,,,,,,,,,,,,,,,,,,
2024-10-12 07:27:48,5fe62dd6-81a3-42b4-bf34-fa401cc5446b,like,3b02f60b-d8dc-4f0d-ad5d-691284edc5bc,75184478,like-5fe62dd6-81a3-42b4-bf34-fa401cc5446b-75184478,,,,,,,,,,,,,,,,,,,
2024-09-20 15:07:44,6436a1ef-9cd1-4cf7-9d8d-e64b7e114696,like,38ca860f-1353-4152-b627-937173871191,75184478,like-6436a1ef-9cd1-4cf7-9d8d-e64b7e114696-75184478,,,,,,,,,,,,,,,,,,,
2024-11-06 17:24:23,724c23a2-d4ad-47d6-90e0-18ad82a20a88,like,3ec8b498-1cc6-403b-9833-8d388fd38e3e,75184478,like-724c23a2-d4ad-47d6-90e0-18ad82a20a88-75184478,,,,,,,,,,,,,,,,,,,
2025-01-11 17:24:59,72a8babe-123f-4907-8d81-65507175de49,like,ed6c50f0-a090-4073-8beb-6ba5dd21f69f,75184478,like-72a8babe-123f-4907-8d81-65507175de49-75184478,,,,,,,,,,,,,,,,,,,
2024-10-12 04:55:11,72d329b7-5d30-465b-8b8d-e4d5029642fc,like,94854686-0cb5-4244-933d-c3a5ba371022,75184478,like-72d329b7-5d30-465b-8b8d-e4d5029642fc-75184478,,,,,,,,,,,,,,,,,,,
2024-09-14 17:17:35,73b80e9b-08d7-4f96-b722-9eecf3b74fc5,like,41d04485-d66c-4f64-84f2-cc2c6db38b9f,75184478,like-73b80e9b-08d7-4f96-b722-9eecf3b74fc5-75184478,,,,,,,,,,,,,,,,,,,
2024-11-06 17:39:17,76dd4711-9699-4a44-8301-b110da26d0d1,like,e6e1d0b2-99f1-4fe0-831e-9809d1af6868,75184478,like-76dd4711-9699-4a44-8301-b110da26d0d1-75184478,,,,,,,,,,,,,,,,,,,
2024-11-06 18:20:16,7e3c7924-2bb7-4f78-a966-55395a3f3765,like,67ed92a7-557e-4c1c-b62e-ee9fa5af7f35,75184478,like-7e3c7924-2bb7-4f78-a966-55395a3f3765-75184478,,,,,,,,,,,,,,,,,,,
