user_id,tv_show_id,poster_id,fanart_id,created_at,updated_at,tv_show_name
75184478,114801,758311,62121377,2024-02-04 15:10:02,2024-02-04 15:10:57,Fairy Tail
75184478,121361,1091846,1132591,2024-01-12 03:17:38,2024-01-12 03:18:01,Game of Thrones
75184478,329822,63016668,63123810,2024-01-12 15:58:01,2024-03-07 11:28:47,Classroom of the Elite
75184478,352408,,,2024-06-26 13:31:18,2024-06-26 13:31:19,That Time I Got Reincarnated as a Slime
75184478,431162,,63623241,2025-01-19 05:19:02,2025-01-19 05:19:04,The Apothecary Diaries
