updated_at,id,user_id,name,value,created_at
2023-12-22 06:31:44,703719827,75184478,is_tracked_on_apptimize,1,2023-12-22 06:31:44
2023-12-22 06:31:44,703719828,75184478,is_tracked_on_appboy,1,2023-12-22 06:31:44
2023-12-22 06:31:44,703719829,75184478,latest-version,2023121201,2023-12-22 06:31:44
2023-12-22 06:31:44,703719831,75184478,locale,en,2023-12-22 06:31:44
2023-12-22 06:31:45,703719838,75184478,is_using_dark_mode,1,2023-12-22 06:31:45
2023-12-22 08:01:55,703719867,75184478,app_installed,1,2023-12-22 06:31:44
2023-12-22 06:32:31,703719930,75184478,notifications_comment_likes,1,2023-12-22 06:32:31
2023-12-22 06:32:31,703719931,75184478,notifications_friend_invites,1,2023-12-22 06:32:31
2023-12-22 06:32:31,703719932,75184478,notifications_friend_comments,1,2023-12-22 06:32:31
2023-12-22 06:32:31,703719933,75184478,notifications_badge_unlocks,1,2023-12-22 06:32:31
2023-12-22 06:32:31,703719934,75184478,notifications_news_and_articles,1,2023-12-22 06:32:31
2023-12-22 06:37:08,703719935,75184478,show_ids_in_onboarding,"[411981,377543,415151,76733,411597,405817,305288,73762,346328,253463,336924,71663,275274,81797,305074,75886,331431,75897,348545,321285,73141,302218,76703,357888,371028,367147,355774,74796,194031,368207,348545,321285,73141,302218,76703,357888,371028,367147,355774,74796,194031,368207,73871,405920,262954,72454,266775,393478,302210,397934,248035,355480,350123,393201,73871,405920,262954,72454,266775,393478,302210,397934,248035,355480,350123,393201,305075,352408,361013,365677,83996,408629,371310,347734,385376,354017,329822,393810,305075,352408,361013,365677,83996,408629,371310,347734,385376,354017,329822,393810,289882,355257,362280,278084,375271,361140,375892,350166,401233,375927,368316,278329,289882,355257,362280,278084,375271,361140,375892,350166,401233,375927,368316,278329,309726,357019,421737,354179,293012,393190,316842,376144,429310,341685,421069,360486,309726,357019,421737,354179,293012,393190,316842,376144,429310,341685,421069,360486,420659,406152,376751,383837,418665,388645,318860,264663,335815,351487,360534,263999,420659,406152,376751,383837,418665,388645,318860,264663,335815,351487,360534,263999,396625,367138,388672,339203,338455,295851,359229,398193,362987,421113,283934,434151,396625,367138,388672,339203,338455,295851,359229,398193,362987,421113,283934,434151,313488,272910,358805,368419,368321,390832,391246,360262,424536,364007,389597,343103,313488,272910,358805,368419,368321,390832,391246,360262,424536,364007,389597,343103,277455,398544,381203,337596,355806,335179,330092,358612,325400,272472,331791,294499,277455,398544,381203,337596,355806,335179,330092,358612,325400,272472,331791,294499,214091,301135,136401,359825,317128,416998,350154,401915,414057,269914,431162,79222,214091,301135,136401,359825,317128,416998,350154,401915,414057,269914,431162,79222,389377,361835,339076,328670,322376,430544,353955,387027,403172,360489,427239,132111,389377,361835,339076,328670,322376,430544,353955,387027,403172,360489,427239,132111,421855,397197,412428,421378,400573,388737,398387,421125,78988,329385,272309,412826,421855,397197,412428,421378,400573,388737,398387,421125,78988,329385,272309,412826,380477,408850,423030,283450,412427,395486,338736,407518,417983,81251,426530,398555,380477,408850,423030,283450,412427,395486,338736,407518,417983,81251,426530,398555,410378,330692,337336,414221,284700,353546,352298,426572,413578,409654,271823,385811,410378,330692,337336,414221,284700,353546,352298,426572,413578,409654,271823,385811,366210,293388,84344,327760,261370,310185,314201,427919,327823,350803,343608,281405,366210,293388,84344,327760,261370,310185,314201,427919,327823,350803,343608,281405]",2023-12-22 06:32:32
2025-06-04 18:23:22,703719938,75184478,appsflyer_device_id,1749061354853-3043635112875098999,2023-12-22 06:32:32
2026-07-01 06:16:36,703720745,75184478,last_explore_change_action_time,2026-07-01 06:16:36,2023-12-22 06:39:23
2023-12-22 06:39:27,703720794,75184478,onboarding_registration_completed,1,2023-12-22 06:39:27
2025-11-07 14:36:43,703723427,75184478,last_notifications_key,"{""time"":{""N"":""1706080584311""},""user_id"":{""N"":""75184478""}}",2023-12-22 07:03:30
2025-11-07 14:36:43,703723428,75184478,last_time_loaded_notifications,2025-11-07 14:36:43,2023-12-22 07:03:30
2025-06-04 18:23:22,900329926,75184478,marketing_opt_in,subscribed,2025-06-04 18:23:22
