user_id,tv_show_id,episode_id,created_at,updated_at,tv_show_name
75184478,73739,363373,2025-10-21 15:39:58,2026-06-24 07:11:48,Lost
75184478,73752,127420,2024-10-19 17:32:54,2026-06-30 20:05:09,Berserk
75184478,74796,10857653,2023-12-22 06:39:54,2025-02-04 12:50:24,Bleach
75184478,76666,206829,2023-12-22 07:10:20,2023-12-27 15:34:12,Dragon Ball
75184478,76703,5804622,2023-12-30 02:34:24,2024-01-27 13:24:46,Pokémon
75184478,78804,308600,2025-01-04 03:23:33,2025-06-01 22:49:18,Doctor Who (2005)
75184478,78857,296976,2023-12-22 06:51:54,2023-12-22 06:51:58,Naruto
75184478,79237,454291,2026-01-06 17:20:38,2026-01-26 04:22:51,Baki the Grappler
75184478,79685,4684990,2026-04-26 05:56:47,2026-06-18 03:04:35,Fighting Spirit
75184478,81472,378365,2023-12-31 14:06:57,2024-09-10 23:05:26,Dragon Ball Z
75184478,81797,11700064,2023-12-22 06:43:02,2026-06-25 17:39:57,One Piece
75184478,85249,879141,2026-06-13 12:45:02,2026-07-02 07:14:32,Fullmetal Alchemist: Brotherhood
75184478,114801,4236078,2024-01-22 10:11:32,2024-12-31 13:39:48,Fairy Tail
75184478,121361,7107505,2024-01-07 04:39:50,2024-01-17 07:18:16,Game of Thrones
75184478,171591,2434531,2025-05-10 23:29:20,2025-05-11 07:55:29,High School of the Dead
75184478,176941,2502511,2025-04-25 07:44:25,2025-04-25 07:44:25,Sherlock
75184478,219701,4675569,2025-10-21 00:32:39,2026-06-13 08:42:52,Freezing
75184478,249827,4225799,2024-02-29 21:58:58,2024-04-06 00:46:11,The Future Diary
75184478,253463,4201395,2025-04-24 07:12:52,2025-04-24 07:12:52,Black Mirror
75184478,254349,4248685,2026-06-26 16:43:20,2026-07-02 02:16:43,Another
75184478,257765,5207002,2025-06-13 00:22:39,2025-06-29 09:16:49,Kuroko's Basketball
75184478,259640,4889025,2026-02-26 09:40:05,2026-03-02 02:34:34,Sword Art Online
75184478,264663,4854237,2025-06-08 22:59:06,2025-06-18 15:55:04,Date A Live
75184478,267440,4853669,2023-12-31 11:20:25,2023-12-31 11:21:16,Attack on Titan
75184478,275583,4759783,2026-06-17 23:11:03,2026-06-19 04:58:31,Tonari no Seki-kun: The Master of Killing Time
75184478,275610,4720069,2023-12-22 07:04:17,2023-12-22 07:04:17,Noragami
75184478,279121,5260562,2025-03-17 20:06:58,2025-09-29 22:10:18,The Flash (2014)
75184478,281249,6632156,2024-02-04 04:14:35,2024-02-04 04:14:38,Tokyo Ghoul
75184478,283935,5008273,2025-05-11 00:57:36,2025-05-26 14:15:31,Trinity Seven
75184478,289882,7970926,2024-11-14 10:38:38,2025-01-15 15:10:31,Is It Wrong to Try to Pick Up Girls in a Dungeon?
75184478,289909,7943819,2025-02-22 04:43:16,2025-11-27 17:25:56,Food Wars!
