entity_id,user_id,entity_type,range_key,updated_at,fanart,series_name,created_at,entity_uuid,poster
121361,75184478,series,images-287af253-6403-4c36-80f0-149b0188f371,2024-01-12 03:18:01,map[url:https://artworks.thetvdb.com/banners/fanart/original/121361-85.jpg uuid:1132591],Game of Thrones,2024-01-12 03:17:41,287af253-6403-4c36-80f0-149b0188f371,map[url:https://artworks.thetvdb.com/banners/posters/121361-47.jpg uuid:1091846]
431162,75184478,series,images-681f1efa-9e24-4647-bb7e-c9a78c397e2c,2025-01-19 05:19:04,map[url:https://artworks.thetvdb.com/banners/v4/series/431162/backgrounds/64e7424360eef.jpg uuid:63623241],The Apothecary Diaries,2025-01-19 05:19:04,681f1efa-9e24-4647-bb7e-c9a78c397e2c,
329822,75184478,series,images-77533fe4-ba38-4e6f-a064-8446a27d57cc,2024-03-07 11:28:47,map[url:https://artworks.thetvdb.com/banners/v4/series/329822/backgrounds/62ba7ae944629.jpg uuid:63123810],Classroom of the Elite,2024-01-12 15:58:01,77533fe4-ba38-4e6f-a064-8446a27d57cc,map[url:https://artworks.thetvdb.com/banners/v4/series/329822/posters/6224efe737484.jpg uuid:63016668]
114801,75184478,series,images-c16803cc-c5fe-4fe2-be59-b092ea8fd3b1,2024-02-04 15:10:57,map[url:https://artworks.thetvdb.com/banners/series/114801/backgrounds/5e7bef0ca46bc.jpg uuid:62121377],Fairy Tail,2024-02-04 15:10:02,c16803cc-c5fe-4fe2-be59-b092ea8fd3b1,map[url:https://artworks.thetvdb.com/banners/posters/114801-5.jpg uuid:758311]
