created_at,updated_at,user_id,badge_id
2024-01-24 07:16:24,2024-01-24 07:16:24,75184478,114801-marathoner-10-within-48-bd
2024-01-24 07:16:30,2024-01-24 07:16:30,75184478,114801-marathoner-20-within-48-bd
2024-01-26 05:24:04,2024-01-26 05:24:04,75184478,114801-marathoner-3-within-24-bd
2024-01-22 10:11:33,2024-01-22 10:11:33,75184478,114801-marathoner-5-within-24-bd
2024-01-08 16:56:32,2024-01-08 16:56:32,75184478,121361-marathoner-10-within-48-bd
2024-01-15 16:21:47,2024-01-15 16:21:47,75184478,121361-marathoner-20-within-48-bd
2024-01-08 07:22:59,2024-01-08 07:22:59,75184478,121361-marathoner-3-within-24-bd
2024-01-07 04:39:51,2024-01-07 04:39:51,75184478,121361-marathoner-5-within-24-bd
2024-02-04 04:14:39,2024-02-04 04:14:39,75184478,281249-marathoner-10-within-48-bd
2024-11-15 04:33:24,2024-11-15 04:33:24,75184478,289882-marathoner-3-within-24-bd
2024-07-03 11:32:10,2024-07-03 11:32:10,75184478,305074-quick-watcher-3-bd
2024-01-03 19:26:56,2024-01-03 19:26:56,75184478,329822-marathoner-3-within-24-bd
2024-10-12 11:12:03,2024-10-12 11:12:03,75184478,334824-marathoner-3-within-24-bd
2024-02-02 04:10:35,2024-02-02 04:10:35,75184478,339076-marathoner-3-within-24-bd
2024-10-17 17:15:27,2024-10-17 17:15:27,75184478,352408-marathoner-3-within-24-bd
2023-12-22 06:44:53,2023-12-22 06:44:53,75184478,355774-marathoner-20-within-48-bd
2025-01-17 05:03:16,2025-01-17 05:03:16,75184478,355774-quick-watcher-3-bd
2023-12-22 06:44:20,2023-12-22 06:44:20,75184478,360534-marathoner-10-within-48-bd
2023-12-22 06:42:46,2023-12-22 06:42:46,75184478,360534-marathoner-5-within-24-bd
2024-01-26 14:09:22,2024-01-26 14:09:22,75184478,362696-marathoner-5-within-24-bd
2023-12-30 02:31:59,2023-12-30 02:31:59,75184478,377543-marathoner-3-within-24-bd
2024-02-04 04:04:21,2024-02-04 04:04:21,75184478,389597-marathoner-3-within-24-bd
2024-03-17 05:48:44,2024-03-17 05:48:44,75184478,389597-quick-watcher-10-bd
2024-01-21 05:37:54,2024-01-21 05:37:54,75184478,389597-quick-watcher-3-bd
2024-02-04 04:04:21,2024-02-04 04:04:21,75184478,389597-quick-watcher-5-bd
2024-01-29 17:35:58,2024-01-29 17:35:58,75184478,421855-marathoner-3-within-24-bd
2023-12-26 00:37:46,2023-12-26 00:37:46,75184478,421855-marathoner-5-within-24-bd
2024-01-29 17:35:58,2024-01-29 17:35:58,75184478,421855-quick-watcher-3-bd
2025-01-27 12:41:54,2025-01-27 12:41:54,75184478,421855-quick-watcher-5-bd
2023-12-22 06:41:52,2023-12-22 06:41:52,75184478,74796-marathoner-3-within-24-bd
2023-12-26 15:48:20,2023-12-26 15:48:20,75184478,76666-marathoner-10-within-48-bd
2023-12-23 08:29:35,2023-12-23 08:29:35,75184478,76666-marathoner-3-within-24-bd
2023-12-23 08:29:58,2023-12-23 08:29:58,75184478,76666-marathoner-5-within-24-bd
2023-12-31 05:59:35,2023-12-31 05:59:35,75184478,76703-marathoner-10-within-48-bd
2023-12-31 17:36:43,2023-12-31 17:36:43,75184478,76703-marathoner-20-within-48-bd
2023-12-30 02:34:26,2023-12-30 02:34:26,75184478,76703-marathoner-3-within-24-bd
2023-12-30 09:42:21,2023-12-30 09:42:21,75184478,76703-marathoner-5-within-24-bd
2025-01-12 10:36:13,2025-01-12 10:36:13,75184478,78804-marathoner-3-within-24-bd
2024-01-13 13:18:24,2024-01-13 13:18:24,75184478,81472-marathoner-10-within-48-bd
2024-01-05 09:32:32,2024-01-05 09:32:32,75184478,81472-marathoner-3-within-24-bd
2024-01-07 05:37:30,2024-01-07 05:37:30,75184478,81797-marathoner-5-within-24-bd
2024-01-21 11:42:54,2024-01-21 11:42:54,75184478,81797-quick-watcher-3-bd
2024-02-12 02:03:52,2024-02-12 02:03:52,75184478,81797-quick-watcher-5-bd
2024-01-17 07:18:29,2024-01-17 07:18:29,75184478,archived-show
2023-12-31 09:40:23,2023-12-31 09:40:23,75184478,chose-emotion
2024-09-14 17:17:29,2024-09-14 17:17:29,75184478,gave-comment-like
2023-12-22 06:44:20,2023-12-22 06:44:20,75184478,serial-watcher-10-bd    
2023-12-22 06:44:41,2023-12-22 06:44:41,75184478,serial-watcher-15-bd    
2023-12-22 06:57:05,2023-12-22 06:57:05,75184478,serial-watcher-30-bd    
2023-12-22 06:42:46,2023-12-22 06:42:46,75184478,serial-watcher-5-bd    
2023-12-22 06:31:45,2023-12-22 06:31:45,75184478,used-mobile-version
2024-03-18 17:04:32,2024-03-18 17:04:32,75184478,voted-character
